"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2017-12",101.2636,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-01",101.2554,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-02",101.1752,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-03",101.0494,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.9292,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-05",100.8345,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.7386,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.6295,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.5007,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.3496,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.1929,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-11",100.0634,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.95866,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.90416,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.88228,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.86656,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.83952,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.79739,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.74099,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.67989,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.63732,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.63301,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.6838,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.7434,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.77595,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.76134,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-02",99.70755,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.46991,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-04",92.10126,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-05",94.62243,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-06",96.85514,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.48782,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.52139,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.69498,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-10",99.83136,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-11",99.96266,
"BEL","CLI","AMPLITUD","LTRENDIDX","M","2020-12",100.2057,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2017-12",101.2486,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-01",101.344,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-02",101.4172,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-03",101.4505,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-04",101.4522,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-05",101.428,
"HUN","CLI","AMPLITUD","LTRENDIDX","M","2018-06",101.3778,
